year,exporter,importer,product,value,quantity
2021,4,251,220421,0.318,        0.001
2021,4,352,220410,0.028,        0.003
2021,4,686,220410,1.22,        1.221
2021,4,686,220421,10.727,       10.328
2021,4,710,220429,0.002,        0.001
2021,4,757,220410,0.013,        0.001
2021,8,36,220421,1.459,        0.027
2021,8,40,220410,0.141,        0.029
2021,8,56,220410,0.171,        0.004
2021,8,56,220421,0.94,        0.036
2021,8,70,220421,0.287,        0.045
2021,8,156,220421,0.636,        0.043
2021,8,191,220421,0.013,        0.003
2021,8,203,220421,0.015,        0.002
2021,8,251,220421,0.563,        0.010
2021,8,300,220410,19.163,        0.126
2021,8,348,220421,0.006,        0.001
2021,8,380,220410,73.519,        1.530
2021,8,380,220421,1.978,        0.077
2021,8,404,220421,1.425,        0.079
2021,8,428,220421,0.624,        0.090
2021,8,499,220429,20.654,        5.872
2021,8,757,220421,23.284,        2.277
2021,8,826,220421,1101.882,       14.297
2021,12,124,220421,0.028,        0.006
2021,12,156,220421,50.958,        8.694
2021,12,251,220421,321.692,       91.570
2021,12,702,220421,0.09,        0.004
2021,12,757,220410,0.059,        0.001
2021,20,156,220421,0.071,        0.005
2021,20,251,220421,132.531,        0.601
2021,20,410,220421,32.827,        3.756
2021,20,442,220410,0.033,        0.002
2021,20,724,220410,0.383,        0.810
2021,20,724,220421,2.137,        5.187
2021,20,757,220410,0.087,        0.002
2021,20,842,220410,9.264,        1.080
2021,24,40,220421,1.103,        1.440
2021,24,44,220421,2.27,        0.162
2021,24,56,220410,0.384,        0.800
2021,24,76,220410,0.015,        0.010
2021,24,76,220421,0.592,        0.769
2021,24,76,220429,0.353,        0.278
2021,24,124,220421,2.926,        3.000
2021,24,124,220429,0.056,        0.019
2021,24,156,220410,1.075,        3.611
2021,24,178,220410,130.186,      176.687
2021,24,178,220421,104.612,      132.075
2021,24,178,220429,5.031,        3.050
2021,24,180,220410,178.31,      677.297
2021,24,180,220421,186.504,      276.042
2021,24,180,220422,0.525,        4.703
2021,24,180,220429,75.743,       51.798
2021,24,192,220410,4.939,        3.545
2021,24,192,220421,12.968,       15.445
2021,24,192,220429,0.241,        0.120
2021,24,208,220410,0.02,        0.054
2021,24,231,220410,0.092,        0.719
2021,24,251,220410,0.944,        0.800
2021,24,251,220421,1.16,        4.167
2021,24,251,220422,0.011,        0.800
2021,24,251,220429,0.085,        0.060
2021,24,266,220410,0.537,        0.800
2021,24,276,220410,0.8,        6.293
2021,24,276,220429,0.051,        0.431
2021,24,288,220410,0.578,        0.800
2021,24,324,220421,0.309,        0.800
2021,24,352,220421,0.06,        0.031
2021,24,360,220410,1.833,        0.006
2021,24,360,220421,0.05,        0.066
2021,24,376,220421,0.1,        0.054
2021,24,380,220421,0.015,        0.053
2021,24,422,220421,1.1,        0.015
2021,24,458,220410,0.241,        0.010
2021,24,508,220410,2.695,        0.180
2021,24,508,220421,1.155,        0.997
2021,24,516,220410,0.538,        3.943
2021,24,528,220410,2.468,        4.798
2021,24,528,220421,3.475,        2.917
2021,24,579,220429,0.613,        0.370
2021,24,586,220429,0.06,        0.010
2021,24,604,220410,2.15,        4.850
2021,24,604,220421,0.488,        0.800
2021,24,620,220410,11.789,       15.137
2021,24,620,220421,3.608,        0.045
2021,24,620,220429,0.168,        2.029
2021,24,634,220410,0.015,        0.107
2021,24,643,220421,1.932,        3.168
2021,24,678,220410,3.317,        4.078
2021,24,678,220429,1.119,        0.055
2021,24,702,220421,3.85,        0.450
2021,24,710,220410,0.43,        0.004
2021,24,710,220421,4.362,        4.392
2021,24,716,220421,0.113,        0.112
2021,24,764,220410,0.019,        0.010
2021,24,826,220410,5.166,        4.357
2021,24,842,220410,8.223,        3.963
2021,24,842,220421,4.103,        5.601
2021,24,842,220422,0.203,        0.950
2021,24,842,220429,0.07,        0.018
2021,24,862,220410,0.036,        0.026
2021,28,36,220421,6.876,        1.152
2021,28,40,220421,0.248,        0.004
2021,28,124,220421,0.384,        0.105
2021,28,203,220421,4.234,        1.338
2021,28,246,220421,4.905,        0.045
2021,28,251,220421,107.151,       10.476
2021,28,276,220410,5.743,        0.752
2021,28,372,220429,0.046,        0.012
2021,28,480,220410,0.259,        0.057
2021,28,524,220410,0.854,        0.135
2021,28,554,220421,2.635,        0.225
2021,28,702,220421,2.171,        0.034
2021,28,752,220421,39.919,       14.000
2021,28,757,220421,0.061,        0.002
2021,28,804,220421,0.656,        0.045
2021,28,826,220421,253.781,       49.937
2021,31,100,220429,23.0,       45.604
2021,31,112,220421,268.437,      137.177
2021,31,156,220410,0.097,        0.022
2021,31,156,220421,381.025,      169.712
2021,31,203,220421,0.187,        0.011
2021,31,204,220410,3.01,        3.775
2021,31,204,220421,26.744,       32.938
2021,31,233,220421,38.33,       19.463
2021,31,344,220410,361.842,        2.400
2021,31,344,220421,15.564,        1.253
2021,31,348,220410,0.03,        0.007
2021,31,348,220421,0.007,        0.075
2021,31,392,220410,0.015,        0.002
2021,31,392,220421,151.166,       28.490
2021,31,392,220429,0.034,        0.004
2021,31,398,220421,68.052,       45.159
2021,31,417,220421,28.101,       20.050
2021,31,428,220421,48.17,       33.450
2021,31,499,220421,0.053,        0.014
2021,31,528,220421,169.241,       17.098
2021,31,616,220410,8.149,        4.233
