year,exporter,importer,product,value,quantity,exporter_name,ISO3_exp,importer_name,ISO3_imp,exporter_continent,importer_continent
2021,4,251,220421,0.318,        0.001,Afghanistan,AFG,France,FRA,Asia,Europe
2021,4,352,220410,0.028,        0.003,Afghanistan,AFG,Iceland,ISL,Asia,Europe
2021,4,686,220410,1.22,        1.221,Afghanistan,AFG,Senegal,SEN,Asia,Africa
2021,4,686,220421,10.727,       10.328,Afghanistan,AFG,Senegal,SEN,Asia,Africa
2021,4,710,220429,0.002,        0.001,Afghanistan,AFG,South Africa,ZAF,Asia,Africa
2021,4,757,220410,0.013,        0.001,Afghanistan,AFG,Switzerland,CHE,Asia,Europe
2021,8,36,220421,1.459,        0.027,Albania,ALB,Australia,AUS,Europe,Oceania
2021,8,40,220410,0.141,        0.029,Albania,ALB,Austria,AUT,Europe,Europe
2021,8,56,220410,0.171,        0.004,Albania,ALB,Belgium,BEL,Europe,Europe
2021,8,56,220421,0.94,        0.036,Albania,ALB,Belgium,BEL,Europe,Europe
2021,8,70,220421,0.287,        0.045,Albania,ALB,Bosnia Herzegovina,BIH,Europe,Europe
2021,8,156,220421,0.636,        0.043,Albania,ALB,China,CHN,Europe,Asia
2021,8,191,220421,0.013,        0.003,Albania,ALB,Croatia,HRV,Europe,Europe
2021,8,203,220421,0.015,        0.002,Albania,ALB,Czechia,CZE,Europe,Europe
2021,8,251,220421,0.563,        0.010,Albania,ALB,France,FRA,Europe,Europe
2021,8,300,220410,19.163,        0.126,Albania,ALB,Greece,GRC,Europe,Europe
2021,8,348,220421,0.006,        0.001,Albania,ALB,Hungary,HUN,Europe,Europe
2021,8,380,220410,73.519,        1.530,Albania,ALB,Italy,ITA,Europe,Europe
2021,8,380,220421,1.978,        0.077,Albania,ALB,Italy,ITA,Europe,Europe
2021,8,404,220421,1.425,        0.079,Albania,ALB,Kenya,KEN,Europe,Africa
2021,8,428,220421,0.624,        0.090,Albania,ALB,Latvia,LVA,Europe,Europe
2021,8,499,220429,20.654,        5.872,Albania,ALB,Montenegro,MNE,Europe,Europe
2021,8,757,220421,23.284,        2.277,Albania,ALB,Switzerland,CHE,Europe,Europe
2021,8,826,220421,1101.882,       14.297,Albania,ALB,United Kingdom,GBR,Europe,Europe
2021,12,124,220421,0.028,        0.006,Algeria,DZA,Canada,CAN,Africa,North America
2021,12,156,220421,50.958,        8.694,Algeria,DZA,China,CHN,Africa,Asia
2021,12,251,220421,321.692,       91.570,Algeria,DZA,France,FRA,Africa,Europe
2021,12,757,220410,0.059,        0.001,Algeria,DZA,Switzerland,CHE,Africa,Europe
2021,24,40,220421,1.103,        1.440,Angola,AGO,Austria,AUT,Africa,Europe
2021,24,44,220421,2.27,        0.162,Angola,AGO,Bahamas,BHS,Africa,North America
2021,24,56,220410,0.384,        0.800,Angola,AGO,Belgium,BEL,Africa,Europe
2021,24,76,220410,0.015,        0.010,Angola,AGO,Brazil,BRA,Africa,South America
2021,24,76,220421,0.592,        0.769,Angola,AGO,Brazil,BRA,Africa,South America
2021,24,76,220429,0.353,        0.278,Angola,AGO,Brazil,BRA,Africa,South America
2021,24,124,220421,2.926,        3.000,Angola,AGO,Canada,CAN,Africa,North America
2021,24,124,220429,0.056,        0.019,Angola,AGO,Canada,CAN,Africa,North America
2021,24,156,220410,1.075,        3.611,Angola,AGO,China,CHN,Africa,Asia
2021,24,178,220410,130.186,      176.687,Angola,AGO,Congo,COG,Africa,Africa
2021,24,178,220421,104.612,      132.075,Angola,AGO,Congo,COG,Africa,Africa
2021,24,178,220429,5.031,        3.050,Angola,AGO,Congo,COG,Africa,Africa
2021,24,180,220410,178.31,      677.297,Angola,AGO,Dem. Rep. of the Congo,COD,Africa,Africa
2021,24,180,220421,186.504,      276.042,Angola,AGO,Dem. Rep. of the Congo,COD,Africa,Africa
2021,24,180,220422,0.525,        4.703,Angola,AGO,Dem. Rep. of the Congo,COD,Africa,Africa
2021,24,180,220429,75.743,       51.798,Angola,AGO,Dem. Rep. of the Congo,COD,Africa,Africa
2021,24,192,220410,4.939,        3.545,Angola,AGO,Cuba,CUB,Africa,North America
2021,24,192,220421,12.968,       15.445,Angola,AGO,Cuba,CUB,Africa,North America
2021,24,192,220429,0.241,        0.120,Angola,AGO,Cuba,CUB,Africa,North America
2021,24,208,220410,0.02,        0.054,Angola,AGO,Denmark,DNK,Africa,Europe
2021,24,231,220410,0.092,        0.719,Angola,AGO,Ethiopia,ETH,Africa,Africa
2021,24,251,220410,0.944,        0.800,Angola,AGO,France,FRA,Africa,Europe
2021,24,251,220421,1.16,        4.167,Angola,AGO,France,FRA,Africa,Europe
2021,24,251,220422,0.011,        0.800,Angola,AGO,France,FRA,Africa,Europe
2021,24,251,220429,0.085,        0.060,Angola,AGO,France,FRA,Africa,Europe
2021,24,266,220410,0.537,        0.800,Angola,AGO,Gabon,GAB,Africa,Africa
2021,24,276,220410,0.8,        6.293,Angola,AGO,Germany,DEU,Africa,Europe
2021,24,276,220429,0.051,        0.431,Angola,AGO,Germany,DEU,Africa,Europe
2021,24,288,220410,0.578,        0.800,Angola,AGO,Ghana,GHA,Africa,Africa
2021,24,324,220421,0.309,        0.800,Angola,AGO,Guinea,GIN,Africa,Africa
2021,24,352,220421,0.06,        0.031,Angola,AGO,Iceland,ISL,Africa,Europe
2021,24,360,220410,1.833,        0.006,Angola,AGO,Indonesia,IDN,Africa,Asia
2021,24,360,220421,0.05,        0.066,Angola,AGO,Indonesia,IDN,Africa,Asia
2021,24,376,220421,0.1,        0.054,Angola,AGO,Israel,ISR,Africa,Asia
2021,24,380,220421,0.015,        0.053,Angola,AGO,Italy,ITA,Africa,Europe
2021,24,422,220421,1.1,        0.015,Angola,AGO,Lebanon,LBN,Africa,Asia
2021,24,458,220410,0.241,        0.010,Angola,AGO,Malaysia,MYS,Africa,Asia
2021,24,508,220410,2.695,        0.180,Angola,AGO,Mozambique,MOZ,Africa,Africa
2021,24,508,220421,1.155,        0.997,Angola,AGO,Mozambique,MOZ,Africa,Africa
2021,24,516,220410,0.538,        3.943,Angola,AGO,Namibia,NAM,Africa,Africa
2021,24,528,220410,2.468,        4.798,Angola,AGO,Netherlands,NLD,Africa,Europe
2021,24,528,220421,3.475,        2.917,Angola,AGO,Netherlands,NLD,Africa,Europe
2021,24,579,220429,0.613,        0.370,Angola,AGO,Norway,NOR,Africa,Europe
2021,24,586,220429,0.06,        0.010,Angola,AGO,Pakistan,PAK,Africa,Asia
2021,24,604,220410,2.15,        4.850,Angola,AGO,Peru,PER,Africa,South America
2021,24,604,220421,0.488,        0.800,Angola,AGO,Peru,PER,Africa,South America
2021,24,620,220410,11.789,       15.137,Angola,AGO,Portugal,PRT,Africa,Europe
2021,24,620,220421,3.608,        0.045,Angola,AGO,Portugal,PRT,Africa,Europe
2021,24,620,220429,0.168,        2.029,Angola,AGO,Portugal,PRT,Africa,Europe
2021,24,634,220410,0.015,        0.107,Angola,AGO,Qatar,QAT,Africa,Asia
2021,24,643,220421,1.932,        3.168,Angola,AGO,Russian Federation,RUS,Africa,Europe
2021,24,710,220410,0.43,        0.004,Angola,AGO,South Africa,ZAF,Africa,Africa
2021,24,710,220421,4.362,        4.392,Angola,AGO,South Africa,ZAF,Africa,Africa
2021,24,716,220421,0.113,        0.112,Angola,AGO,Zimbabwe,ZWE,Africa,Africa
2021,24,764,220410,0.019,        0.010,Angola,AGO,Thailand,THA,Africa,Asia
2021,24,826,220410,5.166,        4.357,Angola,AGO,United Kingdom,GBR,Africa,Europe
2021,24,842,220410,8.223,        3.963,Angola,AGO,USA,USA,Africa,North America
2021,24,842,220421,4.103,        5.601,Angola,AGO,USA,USA,Africa,North America
2021,24,842,220422,0.203,        0.950,Angola,AGO,USA,USA,Africa,North America
2021,24,842,220429,0.07,        0.018,Angola,AGO,USA,USA,Africa,North America
2021,24,862,220410,0.036,        0.026,Angola,AGO,Venezuela,VEN,Africa,South America
2021,31,100,220429,23.0,       45.604,Azerbaijan,AZE,Bulgaria,BGR,Asia,Europe
2021,31,112,220421,268.437,      137.177,Azerbaijan,AZE,Belarus,BLR,Asia,Europe
2021,31,156,220410,0.097,        0.022,Azerbaijan,AZE,China,CHN,Asia,Asia
2021,31,156,220421,381.025,      169.712,Azerbaijan,AZE,China,CHN,Asia,Asia
2021,31,203,220421,0.187,        0.011,Azerbaijan,AZE,Czechia,CZE,Asia,Europe
2021,31,204,220410,3.01,        3.775,Azerbaijan,AZE,Benin,BEN,Asia,Africa
2021,31,204,220421,26.744,       32.938,Azerbaijan,AZE,Benin,BEN,Asia,Africa
2021,31,233,220421,38.33,       19.463,Azerbaijan,AZE,Estonia,EST,Asia,Europe
2021,31,348,220410,0.03,        0.007,Azerbaijan,AZE,Hungary,HUN,Asia,Europe
2021,31,348,220421,0.007,        0.075,Azerbaijan,AZE,Hungary,HUN,Asia,Europe
2021,31,392,220410,0.015,        0.002,Azerbaijan,AZE,Japan,JPN,Asia,Asia
2021,31,392,220421,151.166,       28.490,Azerbaijan,AZE,Japan,JPN,Asia,Asia
2021,31,392,220429,0.034,        0.004,Azerbaijan,AZE,Japan,JPN,Asia,Asia
2021,31,398,220421,68.052,       45.159,Azerbaijan,AZE,Kazakhstan,KAZ,Asia,Asia
2021,31,417,220421,28.101,       20.050,Azerbaijan,AZE,Kyrgyzstan,KGZ,Asia,Asia
2021,31,428,220421,48.17,       33.450,Azerbaijan,AZE,Latvia,LVA,Asia,Europe
2021,31,499,220421,0.053,        0.014,Azerbaijan,AZE,Montenegro,MNE,Asia,Europe
2021,31,528,220421,169.241,       17.098,Azerbaijan,AZE,Netherlands,NLD,Asia,Europe
2021,31,616,220410,8.149,        4.233,Azerbaijan,AZE,Poland,POL,Asia,Europe
2021,31,616,220421,79.002,       32.684,Azerbaijan,AZE,Poland,POL,Asia,Europe
2021,31,643,220410,3.471,        0.920,Azerbaijan,AZE,Russian Federation,RUS,Asia,Europe
2021,31,643,220421,2172.956,     1708.583,Azerbaijan,AZE,Russian Federation,RUS,Asia,Europe
2021,31,643,220429,424.174,     1143.277,Azerbaijan,AZE,Russian Federation,RUS,Asia,Europe
2021,31,764,220421,0.234,        0.012,Azerbaijan,AZE,Thailand,THA,Asia,Asia
